,acc_cyt,domains,mycofactocin,Mycofactocin_RRE,mycofact_rSAM,mycofact_TetR,actino_HemFlav,mycofact_glyco,mycofact_creat,SDR_subfam_1,Rv0697,TetR_N,Pyr_redox_2,SDR_subfam_2,AAA_5,VWA_CoxE,Reductase_C,GerE,mycofact_OYE_2,Response_reg,NDMA_methanol,PA_CoA_Oxy5,HisKA_3,mycofact_OYE_1,Methyltransf_11,efflux_EmrB,Fe-ADH
WP_228638331.1,zzzz574,"['mycofact_glyco', 'SDR_subfam_2', 'mycofact_creat', 'mycofact_rSAM', 'mycofact_MftB', 'mycofactocin', 'PaaB1', 'ECH_2', 'CoA_transf_3', 'Amidohydro_3', 'ECH_1', 'DUF2889', 'VP_N-CPKC']",1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_189138050.1,zzzzz54,"['3a0107s01c2', '3a0107s02c', 'phosphate_pstC', 'ptsS_2', 'MaoC_dehydratas', '2A0121', 'mycofact_TetR', 'mycofactocin', 'mycofact_rSAM', 'rad_SAM_trio', 'actino_HemFlav', 'mycofact_creat', 'SDR_subfam_2', 'mycofact_glyco', 'Rxyl_3153', 'F420_Rv1855c', 'Bac_luciferase', 'Aldedh', 'Rxyl_3153']",1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_081878369.1,zzzz154,"['decarb_PcaC', 'DJ-1_PfpI', 'Aldo_ket_red', 'HTH_3', 'HTH_31', 'TPR_MalT', 'TPR_8', 'MbtH', 'Rv0697', 'mycofact_glyco', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'TetR_N', 'PA_CoA_Oxy5', 'DNA_alkylation', 'glut_race', 'Pyr_redox_2', 'Reductase_C', 'SPW', 'IPTL_CTERM', 'TetR_N', 'mycofact_TetR']",1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
WP_209898104.1,zzzz630,"['CxxC_CxxC_SSSS', 'zf-HIT', 'zf-ribbon_3', 'protocat_pcaD', 'EF-G', 'DNA_alkylation', 'PA_CoA_Oxy5', 'TetR_N', 'mycofactocin', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofact_glyco', 'Rv0697', 'GAF', 'GAF_2', 'AA-adenyl-dom', 'Condensation', 'AMP-binding', 'alpha_am_amid', 'PP-binding', 'AA-adenyl-dom', 'AMP-binding', 'Condensation', 'alpha_am_amid', 'PP-binding', 'Thioesterase', 'TetR_N', 'TetR_C_24', 'HTH_23', 'TetR_N', 'TetR_C_24', 'lp_']",1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WP_084483987.1,zzzz672,"['TetR_N', 'mycofact_TetR', 'SPW', 'Pyr_redox_2', 'Reductase_C', 'glut_race', 'DNA_alkylation', 'PA_CoA_Oxy5', 'TetR_N', 'mycofactocin', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofact_glyco', 'Rv0697', 'PaaX', 'Trans_reg_C', 'AA-adenyl-dom', 'Condensation', 'alpha_am_amid', 'ligase_PEP_1', 'PP-binding', 'AA-adenyl-dom', 'AMP-binding', 'Condensation', 'alpha_am_amid', 'PP-binding', 'Thioesterase', 'MbtH', 'HTH_3', 'TPR_MalT', 'TPR_19', 'CMD', 'CUE']",1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
WP_227997148.1,zzzzz82,"['Beta-lactamase', 'CATASP', 'MbtH', 'AA-adenyl-dom', 'Condensation', 'D-ala-DACP-lig', 'alpha_am_amid', 'PP-binding', 'Thioesterase', 'AA-adenyl-dom', 'AMP-binding', 'Condensation', 'alpha_am_amid', 'PP-binding', 'GAF', 'GAF_2', 'Rv0697', 'mycofact_glyco', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'TetR_C_1', 'DUF6457', 'PA_CoA_Oxy5', 'DNA_alkylation', 'glut_race', 'SPW', 'TetR_N', 'mycofact_TetR']",1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WP_195085618.1,zzzz175,"['HTH_3', 'HTH_31', 'TPR_MalT', 'TPR_19', 'MbtH', 'AA-adenyl-dom', 'AMP-binding', 'Condensation', 'alpha_am_amid', 'PP-binding', 'Thioesterase', 'AA-adenyl-dom', 'AMP-binding', 'Condensation', 'alpha_am_amid', 'GAF', 'Rv0697', 'mycofact_glyco', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'TetR_C_1', 'PA_CoA_Oxy5', 'DNA_alkylation', 'glut_race', 'Pyr_redox_2', 'SPW', 'IPTL_CTERM', 'TetR_N', 'mycofact_TetR']",1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WP_083884317.1,zzzz153,"['PRAI', 'MbtH', 'AA-adenyl-dom', 'Condensation', 'alpha_am_amid', 'D-ala-DACP-lig', 'menE', 'PP-binding', 'Thioesterase', 'AA-adenyl-dom', 'Condensation', 'AMP-binding', 'alpha_am_amid', 'D-ala-DACP-lig', 'DHB_AMP_lig', 'PP-binding', 'GAF', 'GAF_2', 'PaaX', 'Rv0697', 'mycofact_glyco', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'TetR_C_1', 'PA_CoA_Oxy5', 'DNA_alkylation', 'glut_race', 'PGA_cap', 'Pyr_redox_2', 'SPW']",1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WP_185054264.1,zzzz342,"['Glyco_hydro_32N', 'Beta_helix_2', 'formate_TAT', 'NosD_copper_fam', 'ccpA', 'FR47', 'mycofact_glyco', 'SDR_subfam_2', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Peripla_BP_3', 'HTH_23', 'HTH_20', 'GntR', 'ECH_1', 'SSADH', 'PaaC-3OHAcCoADH']",1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_169988454.1,zzzz535,"['HTH_31', 'TPR_12', 'TPR_1', 'NB-ARC', 'CD20', 'DUF5655', 'NUDIX', 'mycofact_TetR', 'mycofactocin', 'mycofact_rSAM', 'Mycofactocin_RRE', 'actino_HemFlav', 'mycofact_creat', 'SDR_subfam_2', 'mycofact_glyco', 'ECH_1', 'adh_short_C2', 'Peripla_BP_4', 'xylG', 'ECF_ATPase_2']",1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_163825585.1,zzzzz17,"['AA-adenyl-dom', 'Condensation', 'D-ala-DACP-lig', 'alpha_am_amid', 'ligase_PEP_1', 'DHB_AMP_lig', 'PP-binding', 'AA-adenyl-dom', 'Condensation', 'AMP-binding', 'alpha_am_amid', 'PP-binding', 'GAF', 'Rv0697', 'mycofact_glyco', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'TetR_C_1', 'TetR_N', 'PA_CoA_Oxy5', 'DNA_alkylation', 'glut_race', 'Pyr_redox_2', 'SPW', 'TetR_N', 'mycofact_TetR']",1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WP_189244077.1,zzzzz52,"['mycofact_glyco', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'COesterase', 'TMEM_230_134', 'TetR_C_6', 'SDR_subfam_1', 'Cupin_3', 'Amino_oxidase']",1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_083873011.1,zzzz339,"['SGL', 'HpaG-C-term', 'SBP_bac_1', 'TAT_signal', 'PhnU2', 'BPD_transp_1', 'AAA_16', 'Rv0697', 'mycofact_glyco', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'TetR_N', 'PA_CoA_Oxy5', 'FAD_oxidored', 'MFS_1', 'HpaX', 'TF_pcaQ', 'MarR', 'glut_race', 'Pyr_redox_2']",1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WP_083865143.1,zzzzz51,"['Flavin_Reduct', 'MerR_1', 'MerR', 'Glyoxalase', 'selen_ocin', 'TetR_N', 'TetR_C_24', 'HTH_AraC', 'Ribosomal_L4', 'Rv0697', 'mycofact_glyco', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'TetR_C_1', 'TetR_N', 'PA_CoA_Oxy5', 'PhdYeFM_antitox', 'PIN', 'glut_race', 'Pyr_redox_2', 'SPW']",1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WP_167478108.1,zzzz102,"['CMD', 'DUF1003', 'DJ-1_PfpI', 'Aldo_ket_red', 'UBA_4', 'TPR_MalT', 'HTH_3', 'Rv0697', 'mycofact_glyco', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'TetR_N', 'TetR_C_1', 'PA_CoA_Oxy5', 'DNA_alkylation', 'glut_race', 'Pyr_redox_2', 'Reductase_C', 'SPW', 'IPTL_CTERM', 'TetR_N', 'mycofact_TetR']",1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
WP_120040434.1,zzzz800,"['Pkinase', 'TetR_N', 'TetR_C_24', 'Beta-lactamase', 'SSI', 'UBA_4', 'TPR_MalT', 'CxxCG_CxxCG_HTH', 'TPR_8', 'HTH_31', 'Rv0697', 'mycofact_glyco', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'TetR_C_1', 'PA_CoA_Oxy5', 'DNA_alkylation', 'glut_race', 'Pyr_redox_2', 'SPW', 'TetR_N', 'mycofact_TetR']",1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
