,domains
WP_011566059.1,"['MnhB', 'TIGR00943', 'DUF6541', 'K-cyclin_vir_C']"
WP_011566060.1,"['TIGR00940', 'Proton_antipo_M', 'TIGR01972', 'TIGR01770', 'TIGR01960', 'TIGR00944', 'MbhE', 'MbhD', 'Proton_antipo_N']"
WP_011566061.1,"['TIGR03965', 'Glycos_transf_2', 'Glyco_tranf_2_3', 'Methyltransf_23', 'Methyltransf_12', 'Methyltransf_11', 'Methyltransf_25', 'TIGR03937', 'TIGR01983', 'Glyco_tranf_2_2', 'TIGR04283', 'TIGR03469', 'Glyco_trans_2_3', 'Methyltransf_31', 'Glyco_transf_21', 'TIGR02021', 'TIGR00452', 'TIGR04345', 'TIGR02072', 'TIGR04242', 'MTS', 'TIGR03472', 'TIGR04017', 'TIGR03111', 'TIGR03030', 'Methyltransf_16', 'SAM_MT']"
WP_011566062.1,['Creatininase']
WP_011566063.1,"['TIGR03966', 'TIGR02708', 'TIGR02151', 'TIGR01302', 'IMPDH', 'Glu_synthase', 'TIGR01303', 'TIGR01304', 'TIGR01306', 'His_biosynth', 'NMO', 'TIGR01305', 'ThiG', 'TIGR03151', 'G3P_antiterm', 'Dus', 'TIGR00007']"
WP_011566064.1,"['AAA_5', 'TIGR02640', 'AAA_3', 'TIGR02442', 'bpMoxR', 'MCM', 'AAA_16', 'Mg_chelatase', 'VWA_CoxE', 'TIGR00764', 'AAA', 'TIGR00635', 'TIGR02031', 'VWA_2', 'RuvB_N', 'TIGR00368', 'Sigma54_activat', 'TIGR00868', 'AAA_30', 'TIGR02030', 'TIGR01189', 'TIGR01243', 'AAA_33', 'TIGR03788', 'TIGR02729']"
WP_011566065.1,"['TIGR03989', 'TIGR00692', 'TIGR03201', 'TIGR03366', 'TIGR02824', 'ADH_N', 'ADH_zinc_N', 'TIGR02822', 'TIGR02819', 'TIGR01751', 'TIGR02823', 'TIGR01202', 'TIGR02817', 'Glu_dehyd_C', 'ADH_zinc_N_2', 'AlaDh_PNT_C']"
WP_011566066.1,"['TIGR03962', 'TIGR04545', 'TIGR04055', 'TIGR04053', 'TIGR04347', 'TIGR04303', 'TIGR04051', 'TIGR04054', 'TIGR02109', 'TIGR04250', 'TIGR04546', 'TIGR04133', 'TIGR04251', 'TIGR04103', 'TIGR03913', 'Radical_SAM', 'TIGR04082', 'TIGR02666', 'TIGR03942', 'TIGR02668', 'TIGR04163', 'TIGR04317', 'TIGR04340', 'TIGR04064', 'TIGR04403', 'TIGR03961', 'TIGR03974', 'TIGR04083', 'TIGR04466', 'TIGR04085', 'TIGR04167', 'TIGR03906', 'TIGR04080', 'TIGR04280', 'TIGR03470', 'TIGR04311', 'TIGR04084', 'TIGR04463', 'TIGR04321', 'TIGR04068', 'TIGR03977', 'TIGR02495', 'TIGR04261', 'TIGR04349', 'Fer4_12', 'Fer4_14', 'TIGR03963', 'TIGR02493', 'TIGR04426', 'TIGR04278', 'TIGR04269', 'SPASM', 'TIGR04478', 'TIGR04334', 'TIGR04508', 'TIGR03365', 'TIGR04304', 'TIGR04136', 'TIGR04148', 'TIGR02494', 'TIGR04078', 'TIGR04115', 'TIGR04496', 'TIGR04041']"
WP_011566067.1,"['TIGR03967', 'Mycofactocin_RRE', 'NHLP_CD_RRE', 'GntR', 'Cyanobactin_D_RRE', 'PqqD']"
WP_011566068.1,"['TIGR03971', 'TIGR01830', 'TIGR01963', 'TIGR02415', 'TIGR01832', 'TIGR04316', 'TIGR02632', 'TIGR03206', 'TIGR01829', 'TIGR01831', 'TIGR03325', 'TIGR02685', 'KR', 'TIGR01500', 'DUF1776', 'DUF294', 'TIGR01289', 'GHL6', 'TIGR03679', 'DUF6233']"
