Query,Genus/Species,Nucleotide_acc,Protein_acc,start,end,dir,PfamID1,Name1,Description1,E-value1,PfamID2,Name2,Description2,E-value2,PfamID3,Name3,Description3,E-value3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_145853129.1,Trebonia kvetii,NZ_RPFW01000002.1,WP_187365872.1,891146,890102,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_145853129.1,Trebonia kvetii,NZ_RPFW01000002.1,WP_187365873.1,891477,891165,-,TIGR00377,TIGR00377,ant_ant_sig: anti-anti-sigma factor,1.8E-16,PF13466,STAS_2,STAS domain,3.6E-16,PF01740,STAS,STAS domain,6.6E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_145853129.1,Trebonia kvetii,NZ_RPFW01000002.1,WP_145853125.1,891619,892345,+,PF02909,TetR_C_1,"Tetracyclin repressor-like, C-terminal domain",6.4E-19,PF00440,TetR_N,"Bacterial regulatory proteins, tetR family",6.3E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_145853129.1,Trebonia kvetii,NZ_RPFW01000002.1,WP_145853126.1,892572,892368,-,PF00313,CSD,'Cold-shock' DNA-binding domain,9.8E-30,TIGR02381,TIGR02381,cspD: cold shock domain protein CspD,7.1E-26,PF08206,OB_RNB,Ribonuclease B OB domain,7.7E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_145853129.1,Trebonia kvetii,NZ_RPFW01000002.1,WP_145853127.1,892834,892603,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_145853129.1,Trebonia kvetii,NZ_RPFW01000002.1,WP_246115648.1,894020,893531,-,PF02566,OsmC,OsmC-like protein,5.3E-11,TIGR03563,TIGR03563,"perox_SACOL1771: peroxiredoxin, SACOL1771 subfamily",2.5E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_145853129.1,Trebonia kvetii,NZ_RPFW01000002.1,WP_246115687.1,895302,894114,-,TIGR03965,TIGR03965,mycofact_glyco: mycofactocin system glycosyltransferase,2.4E-123,PF00535,Glycos_transf_2,Glycosyl transferase family 2,3.3E-22,PF13641,Glyco_tranf_2_3,Glycosyltransferase like family 2,7.5E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_145853129.1,Trebonia kvetii,NZ_RPFW01000002.1,WP_145853128.1,896959,895654,-,TIGR03962,TIGR03962,mycofact_rSAM: mycofactocin radical SAM maturase,1.4E-196,TIGR04545,TIGR04545,rSAM_ahbD_hemeb: heme b synthase,5.7E-50,TIGR04055,TIGR04055,rSAM_NirJ2: putative heme d1 biosynthesis radical SAM protein NirJ2,5E-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_145853129.1,Trebonia kvetii,NZ_RPFW01000002.1,WP_145853129.1,897230,896942,-,RREFam016,Mycofactocin_RRE,Stand-alone RRE protein in a mycofactocin cluster,5.3E-33,TIGR03967,TIGR03967,mycofact_MftB: putative mycofactocin binding protein MftB,8.5E-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_145853129.1,Trebonia kvetii,NZ_RPFW01000002.1,WP_145853130.1,897360,897252,-,TIGR03969,TIGR03969,mycofactocin: mycofactocin precursor,1.4E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_145853129.1,Trebonia kvetii,NZ_RPFW01000002.1,WP_246115649.1,897510,898167,+,TIGR03968,TIGR03968,mycofact_TetR: mycofactocin system transcriptional regulator,1.1E-80,PF17754,TetR_C_14,MftR C-terminal domain,4.8E-44,PF00440,TetR_N,"Bacterial regulatory proteins, tetR family",3.6E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_145853129.1,Trebonia kvetii,NZ_RPFW01000002.1,WP_145853131.1,898265,898736,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_145853129.1,Trebonia kvetii,NZ_RPFW01000002.1,WP_145853132.1,898815,899193,+,PF00903,Glyoxalase,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,1.5E-06,PF18029,Glyoxalase_6,Glyoxalase-like domain,0.00029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_145853129.1,Trebonia kvetii,NZ_RPFW01000002.1,WP_145853133.1,899235,899979,+,TIGR03964,TIGR03964,mycofact_creat: mycofactocin system creatininase family protein,2.8E-83,PF02633,Creatininase,Creatinine amidohydrolase,9.3E-56,TIGR04448,TIGR04448,creatininase: creatininase,1.7E-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
