domains,counts
'Mycofactocin_RRE',638
'mycofactocin',586
'mycofact_rSAM',581
'actino_HemFlav',354
'mycofact_creat',314
'mycofact_glyco',220
'SDR_subfam_1',175
'SDR_subfam_2',96
'mycofact_OYE_2',83
'mycofact_OYE_1',76
"'Pyr_redox_2', 'Reductase_C'",75
'Rv0697',71
"'Response_reg', 'GerE'",42
'DNA_alkylation',37
'Fe-ADH',32
"'ETF_alpha', 'ETF'",29
'mft_etfB',22
'Rxyl_3153',21
'GMC_mycofac_2',21
'mycofact_TetR',20
'Pyr_redox_2',19
"'mycofact_rSAM', 'Mycofactocin_RRE'",18
'glut_race',17
'Aldedh',17
'GG-red-SF',17
'HisKA_3',17
"'TetR_N', 'TetR_C_11'",16
'adh_short_C2',16
'ETF_alpha',15
'TetR_N',12
'am_tr_V_VC1184',11
"'AMP-binding', 'AMP-binding_C'",11
'mycofact_MftB',10
"'GerE', 'Response_reg'",9
"'Fer4_2', 'Fer4'",9
'VWA_CoxE',9
'FAD_binding_3',9
'NDMA_methanol',9
'EF-Tu',8
"'HisKA_3', 'HATPase_c_2'",8
'cyc_hxne_CoA_dh',8
'efflux_Bcr_CflA',8
'PGDH',8
'greA',7
"'AAA_5', 'MCM'",7
'Ac_CoA_lig_AcsA',7
'drrA',7
"'HTH_AsnC-type', 'MarR', 'Sigma70_r4'",7
'betA',7
'VWA_2',7
'adh_short',7
'Rv1155_F420',7
'ECH_1',7
'adk',7
'EF-G',7
'AHSA1',7
'COesterase',6
'Creatininase',6
'Aldo_ket_red',6
'CoA_transf_3',5
"'Response_reg', 'GerE', 'HTH_38'",5
'CO_dehy_Mo_lg',5
'P450_rel_GT_act',5
'Flavin_Reduct',5
'Isochorismatase',5
'SnoaL_2',5
'GAF',5
"'HisKA_3', 'GAF_2'",5
'phnR_burk',5
'3oxo_ACP_reduc',5
'Usp',5
'4hydroxCoAred',5
'npdG',4
'Trans_reg_C',4
"'FAD_binding_5', 'CO_deh_flav_C'",4
"'TetR_N', 'betaine_BetI'",4
'Glyoxalase',4
'G3P_acyltransf',4
'rpsJ_bact',4
'rpsG_bact',4
'PhnU2',4
'Transp_cyt_pur',4
'EAL',4
'Amidohydro_2',4
'TIGR00147',4
'Abhydrolase_3',4
'Methyltransf_19',4
'PA_CoA_Oxy5',4
'efflux_EmrB',3
'DUF418',3
