,domains
WP_011566059.1,['MnhB']
WP_011566060.1,['2a6301s01']
WP_011566061.1,"['mycofact_glyco', 'Methyltransf_23', 'Methyltransf_12']"
WP_011566062.1,['Creatininase']
WP_011566063.1,['actino_HemFlav']
WP_011566064.1,"['AAA_5', 'bpMoxR', 'AAA_16', 'ccmA', 'marine_srt_targ']"
WP_011566065.1,['Rxyl_3153']
WP_011566066.1,['mycofact_rSAM']
WP_011566067.1,['mycofact_MftB']
WP_011566068.1,['SDR_subfam_1']
WP_083760118.1,['mycofactocin']
WP_011566069.1,"['N6_N4_Mtase', 'KCNQ2_u3']"
WP_198004859.1,['panF']
WP_041329379.1,['DUF3311']
WP_198004860.1,['4HBT_2']
WP_011566073.1,['TPR_2']
WP_156787788.1,['DUF4131']
WP_011940367.1,['mycofact_glyco']
WP_011940368.1,['ETF']
WP_011940369.1,"['Fer4_2', 'Fer4']"
WP_011940370.1,['GG-red-SF']
WP_011940371.1,['ETF_alpha']
WP_011940372.1,['mycofact_OYE_2']
WP_011940373.1,['mycofact_rSAM']
WP_011940374.1,['Mycofactocin_RRE']
WP_083764939.1,['mycofactocin']
WP_011940375.1,"['HD', 'sCache_3_2']"
WP_011940376.1,['hemeryth_dom']
WP_011940377.1,"['HD', 'Phn-HD']"
WP_041245547.1,['sCache_2']
WP_011940378.1,"['phoR_proteo', 'sensory_box', 'DivIC']"
WP_011940379.1,['VWA_CoxE']
WP_169302318.1,"['CxxC_CxxC_SSSS', 'Zn-ribbon_8', 'UPF0547', 'zf-C2H2', 'zf-ribbon_3', 'zinc_ribbon_2']"
WP_012643256.1,['DUF302']
WP_012642407.1,"['Rhodanese', 'GSH_gloB', 'tRNA_sel_U_synt']"
WP_012643054.1,['Rhodanese']
WP_012643163.1,"['Pyr_redox_2', 'Reductase_C']"
WP_012643096.1,"['zf-CDGSH', 'Rieske']"
WP_012643085.1,['mycofact_glyco']
WP_012643017.1,['mycofact_rSAM']
WP_226980745.1,['Mycofactocin_RRE']
WP_012642828.1,['mycofactocin']
WP_012642824.1,"['Rxyl_3153', 'zf_UBZ']"
WP_012642495.1,['actino_HemFlav']
WP_012642936.1,['Rxyl_3153']
WP_012642887.1,['cyt_deam_tetra']
WP_012642693.1,['DUF6228']
WP_012642731.1,['Amidase']
WP_242652490.1,"['GGDEF', 'HD_5', 'HD']"
