,domains,counts
0,"['EutC', 'EutB', '2A0305', 'Rv0697', 'mycofact_glyco', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Pyr_redox_2', 'Reductase_C', 'HTH_AsnC-type', 'AsnC_trans_reg', 'MarR_2', 'HTH_Tnp_ISL3', 'DDAH_eukar', 'Orn_aminotrans', '2A0306', 'Usp']",2
1,"['COesterase', 'CYP450_TxtE', 'TetR_N', 'TetR_C_11', 'Rv0697', 'mycofact_glyco', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Sig70_famx2', 'Glyoxalase_6', 'Pyr_redox_2', 'HTH_AsnC-type', 'AsnC_trans_reg', 'Orn_aminotrans', 'SDR_subfam_1']",2
2,"['TetR_N', 'TetR_C_11', 'efflux_EmrB', 'Asp_Glu_race', 'Rv0697', 'mycofact_glyco', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Sig70_famx2', 'Glyoxalase_6', 'Pyr_redox_2', 'Reductase_C', 'HTH_AsnC-type', 'MarR', 'Sigma70_r4', 'HTH_Tnp_ISL3', 'DDAH_eukar', 'Orn_aminotrans']",2
3,"['Usp', '2A0306', 'Orn_aminotrans', 'DDAH_eukar', 'HTH_AsnC-type', 'AsnC_trans_reg', 'MarR_2', 'HTH_Tnp_ISL3', 'Pyr_redox_2', 'Reductase_C', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'Rv0697', '2A0305', 'EutB', 'EutC']",2
4,"['2-Hacid_dh_C', 'AdoHcyase_NAD', 'FecCD', 'FecCD', 'Peripla_BP_2', 'selen_ocin', 'Rv0697', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'SDR_subfam_1', 'SDR_subfam_1', 'SDR_subfam_1', 'AAA_5', 'MCM', 'VWA_2', 'actino_HemFlav', 'mycofact_creat']",1
5,"['SDR_subfam_2', 'mft_etfB', 'FeFe_hydrog_B1', 'GG-red-SF', 'ETF_alpha', 'ETF', 'mycofact_OYE_2', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'LCM', 'NUDIX', 'NYN_YacP', 'ROK_glcA_fam', 'ArsA_ATPase', 'ArsA_HSP20', 'Polyketide_cyc2']",1
6,"['SDR_subfam_1', 'Pyr_redox_2', 'Reductase_C', 'PGDH', 'Glyoxalase_6', 'Sig70_famx2', 'DUF2332', 'mycofact_TetR', 'mycofactocin', 'mycofact_MftB', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'Rv0697', 'efflux_EmrB', 'TetR_N', 'TetR_C_11']",1
7,"['SDR_subfam_1', 'Pyr_redox_2', 'Reductase_C', 'thiaz-red', 'TIGR00702', 'DUF2332', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'Rv0697', 'efflux_EmrB', 'TetR_N', 'TetR_C_11']",1
8,"['SDR_subfam_1', 'VWA_2', 'marine_srt_targ', 'AAA_5', 'Mg_chelatase', 'MCM', 'SDR_subfam_1', 'SDR_subfam_1', 'SDR_subfam_1', 'SDR_subfam_1', 'mycofact_rSAM', 'Fer4_14', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Acyl_transf_3', 'DUF4143', 'AAA_14', 'PaaN-DH', 'PaaC-3OHAcCoADH', 'ECH_1', 'pcaF']",1
9,"['SDR_subfam_1', 'VWA_2', 'marine_srt_targ', 'CobT_C', 'AAA_5', 'bpMoxR', 'SDR_subfam_1', 'SDR_subfam_1', 'SDR_subfam_1', 'SDR_subfam_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Rv0697', 'MLTR_LBD', 'HTH_31', 'adh_short', 'LPOR', 'Methyltransf_11', 'Methyltransf_25', 'efflux_EmrB', 'LssY_C']",1
