,prot_1,prot_2,counts
0,Mycofactocin_RRE,mycofactocin,654
1,mycofact_rSAM,mycofactocin,643
2,mycofact_rSAM,Mycofactocin_RRE,639
3,actino_HemFlav,mycofact_rSAM,475
4,mycofactocin,mycofact_TetR,475
5,actino_HemFlav,mycofactocin,472
6,Mycofactocin_RRE,mycofact_TetR,468
7,actino_HemFlav,Mycofactocin_RRE,467
8,mycofact_rSAM,mycofact_TetR,464
9,mycofact_glyco,mycofactocin,461
10,mycofact_glyco,mycofact_rSAM,459
11,mycofact_glyco,Mycofactocin_RRE,454
12,mycofact_rSAM,mycofact_creat,453
13,mycofactocin,mycofact_creat,449
14,Mycofactocin_RRE,mycofact_creat,445
15,mycofact_glyco,mycofact_creat,396
16,mycofact_creat,actino_HemFlav,385
17,actino_HemFlav,mycofact_TetR,384
18,mycofact_glyco,actino_HemFlav,375
19,mycofact_TetR,mycofact_creat,360
20,mycofact_glyco,mycofact_TetR,329
21,mycofactocin,SDR_subfam_1,212
22,Rv0697,mycofact_rSAM,210
23,Rv0697,mycofactocin,209
24,Rv0697,Mycofactocin_RRE,209
25,mycofact_rSAM,SDR_subfam_1,207
26,Mycofactocin_RRE,SDR_subfam_1,205
27,Rv0697,mycofact_TetR,196
28,TetR_N,mycofactocin,193
29,TetR_N,mycofact_rSAM,191
30,TetR_N,Mycofactocin_RRE,191
31,mycofact_TetR,SDR_subfam_1,188
32,Rv0697,actino_HemFlav,188
33,Rv0697,mycofact_glyco,183
34,Rv0697,mycofact_creat,178
35,SDR_subfam_1,actino_HemFlav,176
36,TetR_N,mycofact_TetR,174
37,mycofactocin,Pyr_redox_2,164
38,SDR_subfam_2,mycofactocin,161
39,Mycofactocin_RRE,Pyr_redox_2,161
40,SDR_subfam_2,mycofact_rSAM,161
41,mycofact_rSAM,Pyr_redox_2,159
42,SDR_subfam_2,Mycofactocin_RRE,159
43,actino_HemFlav,TetR_N,154
44,SDR_subfam_1,mycofact_creat,154
45,mycofact_TetR,Pyr_redox_2,153
46,mycofact_glyco,SDR_subfam_1,147
47,actino_HemFlav,Pyr_redox_2,146
48,mycofact_glyco,Pyr_redox_2,144
49,TetR_N,mycofact_glyco,143
50,AAA_5,mycofactocin,137
51,AAA_5,mycofact_rSAM,136
52,mycofact_creat,Pyr_redox_2,136
53,AAA_5,Mycofactocin_RRE,136
54,TetR_N,mycofact_creat,135
55,SDR_subfam_2,mycofact_creat,131
56,mycofact_glyco,SDR_subfam_2,131
57,SDR_subfam_2,actino_HemFlav,123
58,VWA_CoxE,Mycofactocin_RRE,118
59,Pyr_redox_2,Reductase_C,117
60,VWA_CoxE,mycofactocin,117
61,VWA_CoxE,mycofact_rSAM,116
62,mycofactocin,Reductase_C,116
63,Mycofactocin_RRE,Reductase_C,115
64,mycofact_rSAM,Reductase_C,113
65,TetR_N,Rv0697,113
66,mycofact_TetR,Reductase_C,111
67,Mycofactocin_RRE,GerE,111
68,mycofactocin,GerE,110
69,mycofact_rSAM,GerE,108
70,actino_HemFlav,Reductase_C,107
71,Rv0697,Pyr_redox_2,107
72,SDR_subfam_2,mycofact_TetR,104
73,mycofact_OYE_2,Mycofactocin_RRE,103
74,mycofact_OYE_2,mycofactocin,103
75,mycofact_glyco,Reductase_C,102
76,mycofact_OYE_2,mycofact_rSAM,102
77,AAA_5,VWA_CoxE,101
78,Pyr_redox_2,TetR_N,101
79,mycofact_creat,Reductase_C,99
80,Mycofactocin_RRE,Response_reg,94
81,Response_reg,GerE,94
82,SDR_subfam_1,Rv0697,94
83,mycofactocin,Response_reg,93
84,SDR_subfam_1,Pyr_redox_2,91
85,mycofact_rSAM,Response_reg,91
86,NDMA_methanol,Mycofactocin_RRE,90
87,NDMA_methanol,mycofactocin,90
88,NDMA_methanol,mycofact_rSAM,89
89,NDMA_methanol,VWA_CoxE,88
90,AAA_5,mycofact_creat,86
91,AAA_5,actino_HemFlav,86
92,mycofact_OYE_1,mycofactocin,85
93,VWA_CoxE,mycofact_glyco,85
94,mycofact_OYE_1,mycofact_rSAM,85
95,Mycofactocin_RRE,HisKA_3,85
96,mycofact_OYE_1,Mycofactocin_RRE,85
97,mycofactocin,HisKA_3,84
98,mycofact_rSAM,PA_CoA_Oxy5,84
99,mycofactocin,PA_CoA_Oxy5,84
100,Mycofactocin_RRE,PA_CoA_Oxy5,84
101,HisKA_3,GerE,82
102,mycofact_rSAM,HisKA_3,82
103,HisKA_3,Response_reg,82
104,mycofact_OYE_2,mycofact_OYE_1,81
105,NDMA_methanol,AAA_5,80
106,Methyltransf_11,Mycofactocin_RRE,80
107,VWA_CoxE,mycofact_creat,80
108,Methyltransf_11,mycofactocin,79
109,AAA_5,mycofact_glyco,79
110,PA_CoA_Oxy5,mycofact_TetR,79
111,efflux_EmrB,mycofact_TetR,78
112,Rv0697,Reductase_C,77
113,Methyltransf_11,mycofact_rSAM,77
114,efflux_EmrB,mycofactocin,76
115,efflux_EmrB,Mycofactocin_RRE,75
116,efflux_EmrB,mycofact_rSAM,74
117,actino_HemFlav,GerE,74
118,TetR_N,Reductase_C,73
119,SDR_subfam_1,TetR_N,72
120,Mycofactocin_RRE,Fe-ADH,71
121,VWA_CoxE,actino_HemFlav,71
122,mycofactocin,Fe-ADH,70
123,VWA_CoxE,GerE,70
124,SDR_subfam_1,Reductase_C,69
125,efflux_EmrB,actino_HemFlav,68
126,efflux_EmrB,mycofact_creat,68
127,mycofact_rSAM,Fe-ADH,68
128,VWA_CoxE,Response_reg,68
129,mycofact_OYE_2,mycofact_TetR,67
130,Fe-ADH,Response_reg,67
131,mycofact_glyco,GerE,67
132,Fe-ADH,HisKA_3,67
133,efflux_EmrB,mycofact_glyco,67
134,mycofactocin,HTH_AsnC-type,67
135,actino_HemFlav,PA_CoA_Oxy5,66
136,NDMA_methanol,mycofact_glyco,66
137,Mycofactocin_RRE,HTH_AsnC-type,66
138,Fe-ADH,GerE,66
139,efflux_EmrB,TetR_N,65
140,mycofact_OYE_1,mycofact_TetR,65
