,counts
mycofactocin,668
Mycofactocin_RRE,667
mycofact_rSAM,654
mycofact_TetR,495
actino_HemFlav,493
mycofact_glyco,469
mycofact_creat,455
SDR_subfam_1,291
Rv0697,213
TetR_N,210
Pyr_redox_2,169
SDR_subfam_2,163
AAA_5,140
VWA_CoxE,122
Reductase_C,118
GerE,114
mycofact_OYE_2,108
Response_reg,95
NDMA_methanol,93
PA_CoA_Oxy5,87
HisKA_3,86
mycofact_OYE_1,85
Methyltransf_11,80
efflux_EmrB,78
Fe-ADH,72
Rxyl_3153,70
HTH_AsnC-type,67
Glyoxalase_6,65
CoA_transf_3,57
ETF_alpha,54
DNA_alkylation,53
Sig70_famx2,53
Aldedh,52
CYP450_TxtE,52
adh_short_C2,51
GG-red-SF,50
AMP-binding,49
MarR,46
ETF,45
Methyltransf_25,45
TetR_C_11,44
DUF2332,44
Fer4,44
DDAH_eukar,43
GMC_mycofac_2,42
HTH_23,40
mft_etfB,40
VWA_2,40
adh_short,39
Fer4_2,39
AMP-binding_C,37
ECH_1,36
Pyrid_ox_like,33
Sigma70_r4,33
Orn_aminotrans,32
Peripla_BP_2,32
SHOCT,31
FAD_binding_3,31
GAF,30
cyc_hxne_CoA_dh,30
MFS_1,29
HATPase_c_2,28
pcaR_pcaU,28
DoxX_3,27
PP-binding,26
GAF_2,26
MarR_2,25
SPW,24
glut_race,24
NUDIX,23
Polyketide_cyc2,23
HTH_20,23
MCM,23
TetR_C_1,23
LysR_substrate,23
HTH_31,22
Condensation,22
AA-adenyl-dom,22
gas_vesic_GvpN,21
Acetyltransf_1,21
AAA_16,21
marine_srt_targ,21
HTH_Tnp_ISL3,21
SnoaL_2,21
alpha_am_amid,21
HTH_24,21
drrA,21
betA,19
HTH_3,19
P450_cycloAA_1,19
betaine_BetI,19
AsnC_trans_reg,19
Amidohydro_2,19
HTH_IclR,18
Usp,17
am_tr_V_VC1184,17
DUF222,17
TetR_C_24,17
efflux_Bcr_CflA,17
CO_dehy_Mo_lg,17
GntR,17
CbbQ_C,17
protocat_pcaD,17
Acyl-CoA_dh_1,16
EF-G,16
HTH_1,16
COesterase,16
adk,16
Methyltransf_23,16
HTH_30,16
Isochorismatase,16
